StageName,DOW,BirthLast,BirthFirst,Gender,DOB,DOD,Type,Country
Jane Randolph,1942-1948,Randolph,Jane,F,1919,,R:lead,USA
John Randolph,1948-1977,Randolph,John,M,1917,,R:pompous business man,USA
Prunella Ransome,1967-1975,Ransome,Prunella,F,1943,,R:lead,british
David Rappaport,1981,Rappaport,David,M,,,R:sr,\Ct
Michael Rappaport,1991,Rappaport,Michael,M,,,R:sr,\Ct
Michael Rapport,,,,M,,,unknown,unknown
Fritz Rasp,1922-1976,Rasp,Fritz,M,1891,,R:character,german
Thalmus Rasulala,1971-1977,Rasulala,Thalmus,M,1939,,R:black character,USA
Mikhail Rasumny,1940-1955,Rasumny,Mikhail,M,1890,,R:character,russian
Basil Rathbone,1921-1967,Rathbone,Basil,M,1892,,R:incisive,british
Gregory Ratoff,1933-1961,Ratoff,Gregory,M,1897,,R:foreigner,russian
Peter Ratray,,,,M,,,unknown,unknown
Heather Rattray,,,,F,,,unknown,unknown
Blanche Ravalec,,,,F,,,unknown,unknown
Herbert Rawlinson,1912-1948,Rawlinson,Herbert,M,1885,,"R:circus star, character",british
Aldo Ray,1951-1980,da Re,Aldo,M,1926,,R:beefy,USA
Andrew Ray,1950-1978,Ray,Andrew,M,1939,,R:juvenile lead,british
Charles Ray,1919-1937,Ray,Charles,M,1891,,R:silent lead,USA
Johnnie Ray,1954-1954,Ray,Johnnie,M,1927,,R:`crying' singer,USA
Rene Ray,1930-1957,Creese,Irene (Ren\'e),F,1912,,R:downtrodden waif,british
Ted Ray,1930-1960,Olden,Charles,M,1906,,R:comedian,british
Carol Raye,1945-1948,Corkrey,Kathleen,F,1923,,R:lead,australian
Martha Raye,1936-1979,O\'Reed,Maggie,F,1916,,R:wide-mouthed comedienne,USA
Candy Raymond,,,,F,,,unknown,unknown
Cyril Raymond,1932-1956,Raymond,Cyril,M,1897,,R:dull husband,british
Gary Raymond,1958-1966,Raymond,Gary,M,1935,,R:second lead,british
Gene Raymond,1931-1970,Guion,Raymond,M,1908,,"R:lead, character",USA
Paula Raymond,1949-1970,Wright,Paula Ramona,F,1923,,R:lead,USA
Sheila Raynor,,,,F,,,unknown,unknown
Stephen Rea,1980-1993,Rea,Stephen,M,,,R:sr,ireland
James Read,,,,M,,,unknown,unknown
Bertice Reading,,,,F,,,unknown,unknown
Ronald Reagan,1937-1964,Reagan,Ronald,M,1911,,R:good guy,USA
Rex Reason,1952-1960,Roberts,Bart,M,1928,,R:lead,USA
Billy Redden,,,,,,,unknown,unknown
Helen Reddy,1974-1977,Reddy,Helen,F,,,R:folk singer,USA
William Redfield,,,,M,,,unknown,unknown
Basil Redford,,,,M,,,unknown,unknown
Robert Redford,1961-1984,Redford,Robert,M,1937,,R:lead,USA
Corin Redgrave,1966-1971,Redgrave,Corin,M,1939,,R:supporting,british
Jemma Redgrave,1992,Redgrave,Jemma,F,,,R:plain,british
Lynn Redgrave,1963-1981,Redgrave,Lynn,F,1943,,R:sophisticated,british
Michael Redgrave,1936-1971,Redgrave,Sir Michael,M,1908,,R:distinguished,british
Vanessa Redgrave,1958-1983,Redgrave,Vanessa,F,1937,,R:lead,british
Joyce Redman,1963-1963,Redman,Joyce,F,1918,,unknown,ireland
Liam Redmond,1945-1967,Redmond,Liam,M,1913,,R:character,ireland
Moira Redmond,1958-1966,Redmond,Moira,F,1958,,unknown,british
Alan Reed,1943-1962,Bergman,Edward,M,1908,,R:burly,USA
Donna Reed,1941-1979,Mullenger,Donna,F,1921,,R:nice lead,USA
George Reed,1914-1944,Reed,George,M,1867,,R:black character,USA
Jerry Reed,,,,M,,,unknown,unknown
Maxwell Reed,1946-1966,Reed,Maxwell,M,1920,,R:lead,ireland
Oliver Reed,1960-1982,Reed,Oliver,M,1938,,R:sullen roles,british
Pamela Reed,,,,F,*,,unknown,USA
Philip Reed,1934-1967,Reed,Philip,M,1908,,R:lead,USA
Robert Reed,,,,M,,,unknown,unknown
Tracy Reed,,,,F,,,unknown,unknown
Harry Reems,1972,Streicher,Herbert,M,1947,,R:stud,
Angharad Rees,1971-1980,Rees,Angharad,F,1949,,R:intense,\Br; Welsh
Roger Rees,,,,M,1944,,unknown,\Br (Wales)
Tom Reese,1960-1966,Reese,Tom,M,1930,,R:character,USA
Ada Reeve,1944-1956,Reeve,Ada,F,1874,,R:character,british
Christopher Reeve,1977-1984,Reeve,Christopher,M,1952,,R:lead,USA
George Reeves,1939-1953,Brewer,George,M,1932,,R:lead,USA
Kynaston Reeves,1932-1960,Reeves,Kynaston,M,1893,,R:character,british
Steve Reeves,1954-1968,Reeves,Steve,M,1926,,R:muscleman,USA
Joe Regalbuto,,,,M,,,unknown,unknown
Serge Reggiani,1946-1980,Reggiani,Serge,M,1922,,R:slightly-built,\Fr-\It
Frank Reicher,1926-1950,Reicher,Frank,M,1875,,R:character,german
Whit Reichert,,,,M,,,unknown,unknown
Beryl Reid,1954-1983,Reid,Beryl,F,1918,,R:comedienne,british
Carl Benton Reid,1941-1965,Reid,Carl,M,1894,,R:character,USA
Elliott Reid,1944-1969,Reid,Elliott,M,1920,,R:comedy actor,USA
Frances Reid,,,,F,,,unknown,unknown
Kate Reid,1966-1975,Reid,Kate,F,1930,,unknown,canada
Wallace Reid,1911-1922,Reid,Wallace,M,1890,,R:silent lead,USA
Peter Reigert,,,,M,,,unknown,unknown
Tom Reilly,,,,M,,,unknown,unknown
Carl Reiner,1959-1983,Reiner,Carl,M,1922,,R:genial,USA
Rob Reiner,,,,M,1945,,unknown,USA
Thomas Reiner,,,,M,,,unknown,unknown
Judge Reinhold,,,,M,,,unknown,unknown
Ann Reinking,1978-1982,Reinking,Ann,F,1949,,R:dancer,USA
Winston Rekert,,,,M,,,unknown,unknown
George Relph,1947-1957,Relph,George,M,1888,,R:character,british
James Remar,,,,M,,,unknown,unknown
Lee Remick,1957-1980,Remick,Lee,F,1935,,R:lead,USA
Bert Remsen,,,,M,1925],,unknown,USA
Duncan Renaldo,1930-1950,Duncan,Renault Renaldo,M,1904,,unknown,USA
Simone Renant,1947,Renat,Simone,F,,,R:beauty,french
Liz Renay,,,,F,,,unknown,unknown
James Rennie,1920-1931,Rennie,James,M,1890,,R:hero,USA
Michael Rennie,1936-1969,Rennie,Michael,M,1909,,R:con-man,unknown
Kelly Reno,,,,,,,R:horse lover,
Pierre Renoir,1934-1950,Renoir,Pierre,M,1885,,R:character,french
Eva Renzi,1966-1980,Renzi,Eva,F,1944,,R:lead,german
Dan Resin,,,,M,,,unknown,unknown
Tommy Rettig,1961,Rettig,Thomas,M,1951,,R:boy actor,USA
Anne Revere,1934-1976,Revere,Anne,F,1903,,R:stately mother,USA
Dorothy Revier,1922-1936,Velagra,Doris,F,1904,,R:silent lead,USA
Clive Revill,1965-1979,Revill,Clive,M,1930,,R:comic character,\NZ
Aldo Rey,,,,M,,,unknown,unknown
Alejandro Rey,1972-1980,Rey,Alejandro,M,,,unknown,argentinian
Fernando Rey,1952-1979,Rey,Fernando,M,1915,,R:suave,spain
Adeline deWalt Reynolds,1941-1954,Reynolds,Adeline deWalt,F,1862,,R:character,USA
Burt Reynolds,1961-1970,Reynolds,Burt,M,1936,,"R:lithe, virile lead",USA
Debbie Reynolds,1948-1981,Reynolds,Mary Frances,F,1932,,R:lead,USA
Gene Reynolds,1936-1955,Reynolds,Gene,M,1925,,R:child,USA
Joyce Reynolds,1942-1950,Reynolds,Joyce,F,1924,,R:lead,USA
Marjorie Reynolds,1940-1962,Goodspeed,Marjorie,F,1921,,R:lead,USA
Michael J. Reynolds,,,,F,,,unknown,unknown
Peter Reynolds,1946-1968,Horrocks,Peter,M,1926,,R:light character,british
Barbara Rhoades,1968-1980,Rhoades,Barbara,F,1947,,R:character,USA
Sybil Rhoda,,,,F,,,unknown,unknown
Betty Jane Rhodes,1937-1944,Rhodes,Betty Jane,F,1921,,R:singing second lead,USA
Erik Rhodes,1934-1939,Rhodes,Erik,M,1906,,R:comic,USA
Marjorie Rhodes,1939-1971,Rhodes,Marjorie,F,1902,,R:homely,british
Madlyn Rhue,1959-1976,Roche,Madeleine,F,1934,,R:supporting,USA
Paul Rhys,1990-1995,Rhys,Paul,M,\UN,,"R:romantic, laid back",british
John RhysDavies,1980-1982,Rhys-Davies,John,M,,,"R:heavyweight character, good roisterer",british
Candice Rialzon,,,,F,,,unknown,unknown
Renie Riano,1937-1966,Riano,Renie,F,1899,,R:comedienne,USA
Florence Rice,1934-1943,Rice,Florence,F,1907,,R:lead,USA
Joan Rice,1950-1970,Rice,Joan,F,1930,,R:lead,british
Charlie Rich,,,,M,1932,,R:contry-music singer,USA
Irene Rich,1918-1948,Rich,Irene,F,1891,,R:silent heroine,USA
Cliff Richard,1959-1973,Webb,Harold,M,1940,,R:boyish,british
Addison Richards,1934-1960,Richards,Addison,M,1887,,R:character,USA
Ann Richards,1938-1952,Richards,Ann,F,1918,,R:lead,australian
Beah Richards,1962-1976,Richards,Beah,F,,,R:black,USA
Jeff Richards,1948-1958,Taylor,Richard Mansfield,M,1922,,R:general purpose,USA
Kim Richards,,,,F,1964,,unknown,USA
Paul Richards,1958-1975,Richards,Paul,M,1924,,R:general purpose,USA
Joely Richardson,,,,F,,,unknown,unknown
John Richardson,1958-1975,Richardson,John,M,1936,,R:fancy dress,british
Lee Richardson,,,,,,,unknown,unknown
Natasha Richardson,,Richardson,Natasha,,,,unknown,unknown
Ralph Richardson,1933-1984,Richardson,Sir Ralph,M,1902,,R:distinguished,british
Harry Richman,1930-1938,Richman,Harry,M,1895,,unknown,USA
Mark Richman,1956-1971,Richman,Mark,M,1927,,R:general purpose,USA
Kane Richmond,1930-1947,Bowditch,Frederick W.,M,1906,,R:lead,USA
Debi Richter,,,,F,,,unknown,unknown
Don Rickles,1958-1977,Rickles,Don,M,1926,,R:insult comedian,USA
Hal Riddle,,Riddle,Hal,\M,1920,,unknown,unknown
John Ridgeley,1938-1952,Rea,John Huntingdon,M,1909,,R:gangster,USA
Stanley Ridges,1923-1951,Ridges,Stanley,M,1892,,"R:incisive, heavy-featured",british
Judith Ridley,,,,F,,,unknown,unknown
Leni Riefenstahl,1925-1993,Riefenstahl,Leni,F,1902,,R:sporty,german
Peter Riegert,,,,M,,,unknown,unknown
Ron Rifkin,,,,M,,,unknown,unknown
Edward Rigby,1935-1950,Rigby,Edward,M,1879,,R:endearingly doddery roles,british
Terence Rigby,1961-1983,Rigby,Terence,M,1937,,R:character,british
Diana Rigg,1965-1981,Rigg,Diana,F,1938,,R:lead,british
Terence Right,,,,M,,,unknown,unknown
Jack Riley,,,,M,,,unknown,unknown
Larry Riley,,,,M,,,unknown,unknown
Walter Rilla,1926-1965,Rilla,Walter,M,1895,,unknown,german
Shane Rimmer,1974-1982,Rimmer,Shane,M,,,R:supporting,USA
RinTinTin,1923-1955,,,A,1916,,R:silent,german
Molly Ringwald,1981-1990,Ringwald,Molly,F,1968,,R:sweet,USA
Brad Rinn,,,,M,,,unknown,unknown
Michael Ripper,1948-1970,Ripper,Michael,M,1913,,R:character,british
Arthur Riscoe,1934-1941,Riscoe,Arthur,M,1896,,R:comedian,british
Elizabeth Risdon,1935-1952,Evans,E.,F,1887,,R:character,british
Cyril Ritchard,1929-1967,Ritchard,Cyril,M,1896,,"R:dancer, comedian",british
June Ritchie,1961-1967,Ritchie,June,F,1939,,R:lead,british
Kristen Riter,,,,F,,,unknown,unknown
Martin Ritt,1976,Ritt,Martin,M,1919,,unknown,USA
John Ritter,1970-1981,Ritter,Jonathan,M,1948,,R:light,USA
Tex Ritter,1936-1946,Ritter,Woodward,M,1907,,R:cowboy,USA
Thelma Ritter,1947-1968,Ritter,Thelma,F,1905,,R:wry-faced,USA
Harry Ritz,,Ritz,Harry,M,,,R:singer?,USA
The Ritz-Brothers,1938-1939,Ritz,*,G,,,R:singers,USA
Emmanuele Riva,1959-1966,Riva,Emmanuele,F,1932,,R:lead,french
Cecilia Rivera,,,,F,,,unknown,unknown
Chita Rivera,1969-1969,Rigueroa del Rivero,Dolores Conchita,F,1933,,R:dynamic dancer,USA
George Rivero,,,,M,,,unknown,unknown
George Rivers,,,,M,,,unknown,unknown
Joan Rivers,1978-1978,Rivers,Joan,F,,,R:comedienne,USA
Brian Rix,1951-1973,Rix,Brian,M,1924,,R:farcial,british
Bert Roach,1921-1947,Roach,Bert,M,1891,,R:silent,USA
Lilian Roams,1994,Roams,Lilian,F,1967,,R:wild woman,british
Adam Roarke,,,,M,,,unknown,unknown
Jason Robards,1926-1961,Robards,Jason,M,1893,,R:character,USA
Jason Robards~jr.,1958-1983,Roberts~jr.,Jason,M,1920,,unknown,USA
Sam Robards,,Robards,Sam,M,,,unknown,USA
Gale Robbins,1944-1955,Robbins,Gale,F,1922,,R:lead,USA
Jerome Robbins,1956-1961,Robbins,Jerome,M,1918,,R:dancer,USA
Mathew Robbins,,,,M,,,unknown,USA
Richard Rober,1948-1952,Rober,Richard,M,1906,,R:general purpose,USA
John C. Roberick,,,,M,,,unknown,unknown
Lyda Roberti,1932-1937,Roberti,Lyda,F,1910,,R:lead,\Ge-\Po
Christian Roberts,,,,M,,,unknown,unknown
Doris Roberts,1974,Roberts,Doris,F,1930,,unknown,USA
Eric Roberts,1978-1981,Roberts,Eric,M,1956,,R:lead,USA
Glenn Roberts,,,,M,,,unknown,unknown
Julia Roberts,1988-1990,Roberts,Julia,F,1967,,R:long-legged,USA
Michael D. Roberts,,,,M,,,unknown,unknown
Pernell Roberts,1958-1979,Roberts,Pernell,M,1930,,R:general purpose,USA
Rachel Roberts,1952-1979,Roberts,Rachel,F,1930,,unknown,british
Roy Roberts,1943-1968,Roberts,Roy,M,1900,,R:character,USA
Tanya Roberts,,,,F,*,,unknown,USA
Teal Roberts,,,,,,,unknown,unknown
Theodore Roberts,1914-1928,Roberts,Theodore,M,1861,,R:character,USA
Tony Roberts,1970-1983,Roberts,Tony,M,1939,,R:light lead,USA
Jerrold Robertshaw,1918-1933,Robertshaw,Jerrold,M,1866,,R:gaunt,british
Cliff Robertson,1955-1983,Robertson,Cliff,M,1925,,R:lead,USA
Dale Robertson,1949-1981,Robertson,Dale,M,1923,,R:western star,USA
Dennis Robertson,,,,M,,,unknown,unknown
James Robertson,,,,M,,,unknown,unknown
Robbie Robertson,,,,M,,,unknown,unknown
Willard Robertson,1931-1948,Robertson,Willard,M,1886,,R:character,USA
Paul Robeson,1924-1955,Robeson,Paul,M,1898,,R:black singer,USA
Sir George Robey,1923-1952,Wade,George Edward,M,1869,,R:comedian,british
Hayward Robillard,,,,M,,,unknown,unknown
Dany Robin,1946-1969,Robin,Dany,F,1927,,R:lead,french
Andy Robinson,1971-1975,Robinson,Andy,M,,,R:character,USA
Ann Robinson,,,,F,,,unknown,unknown
Bojangles Robinson,1935-1943,Robinson,Bill,M,1878,,R:black dancer,USA
Edward G. Robinson,1923-1973,Goldenberg,Emmanuel,M,1893,,R:tough,\Rm
Francis Robinson,1925-1950,Robinson,Francis,F,1916,,R:supporting,USA
Jay Robinson,1953-1975,Robinson,Jay,M,1930,,R:eccentric roles,USA
John Robinson,1936-1961,Robinson,John,M,1908,,"R:heavy father, tough ececutive",british
Madeleine Robinson,1943-1970,Svoboda,Madeleine,F,1916,,unknown,french
Flora Robson,1931-1979,Robson,Dame Flora,F,1902,,R:distinguished,british
May Robson,1915-1942,Robison,Mary,F,1858,,"R:domineering, kindly old lady",australian
Wayne Robson,,,,M,,,unknown,unknown
Patricia Roc,1938-1960,Riese,Felicia,F,1918,,R:lead,british
Alex Rocco,,,,M,1936,,unknown,USA
Eugene Roche,1974-1978,Roche,Eugene,M,1928,,"R:heavy-set, bewildered look",USA
Jean Rochefort,1983,,,F,1930,,unknown,french
Sam Rockwell,1987-1998,Rockwell,Sam,M,1969,,R:quirky loner,USA
Marcia Rodd,,,,F,,,unknown,unknown
Anton Rodgers,1965-1973,Rodgers,Anton,M,1927,,R:comic character,british
Percy Rodriques,1967-1973,Rodriques,Percy,M,1924,,R:black character,canada
Maurice Roeves,1992,"Ro\""eves",Maurice,M,,,R:sr,\Ct
Buddy Rogers,1926-1948,Rogers,Charles,M,1904,,R:light lead,USA
Ginger Rogers,1930-1964,McMath,Virginia,F,1911,,"R:comedienne, dancer",USA
Jean Rogers,1934-1951,Lovegren,Eleanor,F,1916,,R:light lead,USA
Lela Rogers,1942,Rogers,Lela,F,,,R:mother,USA
Kenny Rogers,1982,Rogers,Kenneth,M,1938,,R:country-and-western singer,USA
Mimi Rogers,1987-1989,Rogers,Mimi,F,1955,,unknown,USA
Paul Rogers,1953-1975,Rogers,Paul,M,1917,,R:character,british
Roy Rogers,1938-1975,Slye,Leonard,M,1912,,R:singing cowboy,USA
Wayne Rogers,1978-1978,Rogers,Wayne,M,1934,,R:light,USA
Will Rogers,1918-1935,Rogers,Will,M,1879,,R:rustic comedian,USA
Helena Rojo,,,,F,,,unknown,unknown
Gilbert Roland,1925-1977,Damaso deAlonso,Luis Antonio,M,1905,,R:Mexican Robin Hood,mexico
Ruth Roland,1915-1936,Roland,Ruth,F,1893,,R:silent serial queen,USA
Guy Rolfe,1946-1973,Rolfe,Guy,M,1915,,R:lead and character,british
Howard E. Rollins~jr.,1981,,,M,*,,unknown,USA
Yvonne Romain,1956-1973,Warren,Yvonne,F,1938,,R:lead,british
Leticia Roman,1961-1964,Roman,Leticia,F,1939,,R:lead,USA
Ruth Roman,1944-1977,Roman,Ruth,F,1924,,R:determined,USA
Vivianne Romance,1935-1963,Romance,Vivianne,F,1912,,R:lead,french
Andy Romano,,,,M,,,unknown,unknown
Mike Romanoff,1948-1967,Gerguson,Harry,M,1890,,R:amiable con man,USA
Steward Rome,1925-1948,Ryott,Septimus William,M,1887,,R:character,british
Sydney Rome,,,,M,1947,,unknown,USA
Fred Romer,,,,M,,,unknown,unknown
Cesar Romero,1934-1974,Romero,Cesar,M,1907,,R:romantic gangster,\Ct
Edana Romney,1941-1948,Rubenstein,E.,F,1919,,R:lead,south african
Maurice Ronet,1949-1979,Ronet,Maurice,M,1927,,R:lead,\Fr\SA
Linda Ronstadt,1983,Ronstadt,Linda,F,1946,,R:pop singer,USA
Mickey Rooney,1932-1981,Yule,Joe~Jnr,M,1920,,"R:diminutive, cute",USA
Noel Roquev\'ert,1922-1962,ert,Noel,M,1894,,R:mean-spirited bourgeois,french
Francoise Rosay,1925-1965,deNaleche,Francoise,F,1891,,R:distinguished,french
George Rose,1952-1983,Rose,George,M,1920,,R:character,british
\'Slapsie' Maxie Rosenbloom,1933-1959,Rosenbloom,Maxie,M,1906,,R:comedian,USA
Milton Rosmer,1921-1937,Lunt,Arthur Milton,M,1881,,unknown,british
Annie Ross,,,,F,,,unknown,unknown
Diana Ross,1972-1978,Ross,Diana,F,1944,,R:black singer,USA
Herbert Ross,,Ross,Herbert,M,1927,,unknown,USA
Katharine Ross,1965-1982,Ross,Katharine,F,1942,,R:lead,USA
Shirley Ross,1935-1945,Gaunt,Bernice,F,1909,,R:lead,USA
Yvonne Ross,,,,F,,,unknown,unknown
Isabella Rossellini,1976-1989,Rossellini,Isabella,F,1955,,R:soft presence,italian
George Rossi,,,,M,,,unknown,unknown
Leo Rossi,,,,M,,,unknown,unknown
Eleonora RossiDrago,1948-1969,Omiccioli,Palmina,F,1925,,R:lead,italian
Norman Rossington,1958-1972,Rossington,Norman,M,1928,,R:character,british
Leonard Rossiter,1964-1982,Rossiter,Leonard,M,1926,,R:character,british
Lilian Roth,1920-1933,Rutstein,Lillian,F,1910,,R:lead,USA
Richard Roundtree,1971-1973,Roundtree,Richard,M,1937,,R:black lead,USA
Robert Rounseville,1951-1956,Rounseville,Robert,M,1914,,R:opera singer,USA
Mickey Rourke,,,,M,1957,,R:cute,USA
Dan Rowan,1957-1969,Rowan,Dan,M,1922,,R:comedian,USA
Gena Rowlands,1958-1980,Rowlands,Virginia,F,1934,,R:lead,USA
Patsy Rowlands,1961-1976,Rowlands,Patsy,F,1934,,R:character comedienne,british
Lionel Royce,1940,Royce,,M,,,unknown,british
Christian Rub,1932-1952,Rub,Christian,M,1887,,R:character,austria
Alma Rubens,1915-1929,Smith,Alma,F,1897,,R:silent lead,USA
Saul Rubinek,,,,M,,,unknown,unknown
John Rubinstein,1970-1978,Rubinstein,John,M,,,R:character,USA
Paul Rudd,199x,Rudd,Paul,M,1970,,R:sexy,
Herbert Rudley,1939-1968,Rudley,Herbert,M,1911,,R:supporting,USA
Rita Rudner,1992w,Rudner,Rita,F,,,R:sr,\Ct
Mercedes Ruehl,1992,Ruehl,Mercedes,F,~1992,,R:warmheated,USA
Charles Ruggles,1915-1966,Ruggles,Charles,M,1886,,R:character comedian,USA
Heinz Ruhmann,1926-1965,"R\""uhmann",Heinz,M,1902,,R:lead,german
Barbara Ruick,1951-1974,Ruick,Barbara,F,1933,,R:lead,USA
Janice Rule,1951-1982,Rule,Janice,F,1931,,R:lead,USA
Sig Ruman,1935-1966,Rumann,Siegfried,M,1884,,R:explosive,USA
John Rumar,,,,M,,,unknown,unknown
Jenny Runacre,1969-1979,Runacre,Jenny,F,1943,,R:character,south african
Jennifer Runyon,,,,F,,,unknown,unknown
Rupaul,1993,bn,gn,M,19aa,,R:tall transvestite musician,USA
Barbara Rush,1951-1981,Rush,Barbara,F,1927,,R:lead,USA
Deborah Rush,,,,F,,,unknown,unknown
Elizabeth Rush,,,,F,,,unknown,unknown
William Russ,,,,M,,,unknown,unknown
Del Russel,1963,Russel,Del,M,1952,,unknown,USA
Theresa Russel,1991,Russell,Theresa,F,1957,,R:prostitute,USA
Betsy Russell,,,,F,,,unknown,unknown
Craig Russell,,,,M,,,unknown,unknown
Gail Russell,1943-1961,Russell,Gail,F,1924,,R:shy lead,USA
Harold Russell,1946-1980,Russell,Harold,M,1914,,R:armless vet,canada
Jane Russell,1943-1970,Russell,Jane,F,1921,,R:busty,USA
John Russell,1939-1970,Russell,John,M,1921,,R:second lead,USA
Ken Russell,,Russell,Ken,M,,,R:handicapped,USA
Kurt Russell,1960-1976,Russell,Kurt,M,1951,,R:boy actor,USA
Lillian Russell,1974-1974,Leonard,Helen Louise,F,1861,,R:statuesque singer,USA
Nipsey Russell,1978,Russell,Nipsey,F,1925],,unknown,USA
Rosalind Russell,1934-1972,Russell,Rosalind,F,1908,,R:dominant lead,USA
Gianni Russo,,,,M,,,unknown,unknown
Rene Russo,Russo,Ren\'e,1993,,F,,199x,R:smart
Ann Rutherford,1938-1972,Rutherford,Ann,F,1917,,R:lead,USA
Dame Margaret Rutherford,1936-1968,Rutherford,Margaret,F,1892,,"R:garrulous, shapeless, endearing",british
Basil Ruysdael,1929-1960,Ruysdael,Basil,M,1888,,R:character,\Ru-\Am
Fran Ryan,,,,F,,,unknown,unknown
Irene Ryan,1941-1957,Riordan,Irene,F,1903,,R:wiry comedienne,USA
James Ryan,,,,M,,,unknown,unknown
John Ryan,1965-1976,Ryan,John P.,M,1938,,R:lead,USA
Kathleen Ryan,1947-1958,Ryan,Kathleen,F,1922,,R:lead,ireland
Meg Ryan,,,,F,,,unknown,unknown
Mitch Ryan,1979-1980,Ryan,Mitchell,M,1928,,R:stalwart character,USA
Peggy Ryan,1937-1980,Ryan,Peggy,F,1924,,R:teenage comedienne,USA
Robert Ryan,1940-1974,Ryan,Robert,M,1909,,R:strong-featured lead,USA
Sheila Ryan,1944-1953,McLaughlin,Katherine,F,1921,,R:light lead,USA
Tim Ryan,1940-1956,Ryan,Tim,M,1889,,R:comedy supporting,USA
Raisa Ryazonova,,,,F,,,unknown,unknown
David Rydall,,,,M,,,unknown,unknown
Bobby Rydell,1963-1963,Rydell,Bobby,M,1942,,R:pop star,USA
Mark Rydell,1973,,,M,1934,,R:gangster,USA
Winona Ryder,1986-1993,Winona,Horowitz,F,1971,,R:sepulchral,USA
Jack Ryland,,,,M,,,unknown,unknown
Yacef Saadi,,,,M,,,unknown,unknown
Sabu,1938-1963,Dastagir,Sabu,M,1924,,R:boyish,india
Greta Sacchi,,,,F,,,unknown,unknown
Stephen Sachs,,,,M,,,unknown,unknown
Michael Sacks,,,,M,,,unknown,unknown
Marianne Sagebrecht,1984-1990,"S\""agebrecht",Marianne,F,,,R:tourist,german
Kengji Sahara,,,,,,,unknown,unknown
Mort Sahl,1958-1968,Sahl,Mort,M,1926,,R:sardonic political comedian,USA
Eva Marie Saint,1954-1983,Saint,Eva Marie,F,1924,,R:heroine,USA
Michael SaintDenis,1936,Saint Denis,Michael,M,,,unknown,french
Susan SaintJames,1968-1980,Miller,Susan,F,1946,,R:determined and kooky,USA
S.Z. Sakall,1916-1954,Szakall,Eugene Gero,M,1884,,R:comic character,hungary
Harold Sakata,1963-1963,Sakata,Harold,M,1920,,R:character,\Ko
Theresa Saldana,,,,F,,,unknown,unknown
Charles Sale,1931-1936,Sale,Charles,M,1885,,R:character,USA
P.J. Sales,,,,M,,,unknown,unknown
Soupy Sales,1966-1966,Hines,Milton,M,1926,,R:children's TV,USA
Peter Sallis,1956-1974,Sallis,Peter,M,1921,,R:bemused-looking,british
Albert Salmi,1958-1981,Salmi,Albert,M,1928,,R:chubby,USA
Louis Salon,,,,M,,,unknown,unknown
Jennifer Salt,1969-1980,Salt,Jennifer,F,1944,,R:lead,USA
Renato Salvatori,,,,M,,,unknown,unknown
Tatania Samoilova,1957-1967,Samoilova,Tatania,F,1934,,R:lead,russian
Will Sampson,1975-1978,Sampson,Will,M,1935,,R:character,USA
JoAnne Samuel,,,,F,,,unknown,unknown
Henry Sanada,,,,M,,,unknown,unknown
Jaime Sanchez,,,,M,,,unknown,unknown
Salvatore Sanchez,,,,M,,,unknown,unknown
Paul Sand,1972-1980,Sanchez,Paul,M,1944,,R:light,USA
Dominique Sanda,1970-1977,Varaigne,Dominique,F,1948,,R:lead,french
Walter Sande,1938-1956,Sande,Walter,M,1906,,R:character,USA
George Sanders,1936-1972,Sanders,George,M,1906,,R:suave cad,british
Scott Sanders,1938-1938,Sanders,Scott,M,1885,,R:clubbable gentleman,british
William Sanderson,,,,M,,,unknown,unknown
Tiny Sandford,1917-1936,Sandford,Stanley J.,M,1894,,R:character,USA
Steve Sandor,,,,M,,,unknown,unknown
Diana Sands,1961-1973,Sands,Diana,F,1934,,R:black,USA
Julian Sands,,,,M,,,unknown,unknown
Tommy Sands,1957-1965,Sands,Tommy,M,1937,,R:singer,USA
Erskine Sanford,1940-1950,Sanford,Erskine,M,1880,,R:elderly gent,USA
Ralph Sanford,1938-1959,Sanford,Ralph,M,1899,,R:burly `good guy',USA
Laura SanGiacomo,1989,San Giacomo,Laura,F,1952,,R:modern exotic,USA
Olga SanJuan,1944-1960,San Juan,Olga,F,1927,,"R:vivacious dancer, comedienne",USA
Tom Santchi,,,,M,,,unknown,unknown
Reni Santoni,1967-1983,Santoni,Reni,M,1939,,unknown,USA
Joe Santos,,,,M,,,unknown,unknown
Tom Santschi,1909-1931,Santschi,Tom,M,1879,,R:silent lead,USA
Chris Sarandon,1975-1980,Sarandon,Chris,M,1942,,R:character,USA
Susan Sarandon,1974-1983,Tomaling,Susan Abigail,F,1946,,R:lead,USA
Dick Sargent,1957-1964,Sargent,Dick,M,1937,,"R:gangling youth, beleaguered husband",USA
Michael Sarne,1960-1967,Sarne,Michael,M,1939,,R:light,british
Michael Sarrazin,1966-1982,Sarrazin,Michael,M,1940,,R:young innocent,canada
Jaqueline Sassard,1967-1968,Sassard,Jaqueline,F,1940,,R:lead,french
Ann Savage,1943-1953,Lyon,Bernie,F,1921,,R:lead,USA
Fred Savage,,,,M,1976,,unknown,unknown
John Savage,1975-1982,Savage,John,M,1953,,R:babyfaced,USA
Vic Savage,,,,M,,,unknown,unknown
Dany Saval,1958-1978,Salle,\FN{Danielle Nadine Suzanne,F,1940,,R:lead,french
George Savalas,,,,M,,,unknown,unknown
